Title,Authors,Journal,Year,PMID
Why don’t all adults get multiple sclerosis?,"Hawkes, CH; Giovannoni, G; Lechner-Scott, J; Levy, M; Yeh, A",Multiple Sclerosis and Related Disorders,2026,41571370
Virus antibody responses in patients with myelin oligodendrocyte glycoprotein antibody-associated disease and multiple sclerosis,"Frederiksen, J; Žiogienė, D; Slibinskas, R; Ciplys, E; Houen, G; Trier, N",Multiple Sclerosis and Related Disorders,2026,41576644
Structure and immunogenicity of an engineered soluble prefusion-stabilized EBV gB antigen,"McCool, RS; Acreman, CM … Weidenbacher, PA; McLellan, JS",Nature Communications,2026,41484092
Recognition mechanisms of multiple sclerosis antibody MS with antigens EBNA1 and GlialCAM via molecular dynamics simulations,"Zhang, L; Yu, Q",Physical Chemistry Chemical Physics,2026,
Patients Suffering From Post‐ COVID ‐19 Syndrome Feature Enhanced Antibody Reactivity Towards Specific Linear Epitopes Within EBV EBNA1,"Lorenz, P; Steinbeck, F; Fricke, F; Mai, F; Bergmann‐Ewert, W; Wossidlo, C; Reisinger, EC; Müller‐Hilke, B",Scandinavian Journal of Immunology,2026,
Myelin antigen capture in the CNS by B cells expressing EBV latent membrane protein 1 leads to demyelinating lesion formation,"Kim, H; Schneider, M … Sanderson, NS; Derfuss, T",Cell,2026,41534531
Long-term trends of mortality from systemic lupus erythematosus in England & Wales and the United States,"Sonnenberg, A; Buchner, AM",Lupus,2026,
Immune dysfunction contributes to comorbid depression in patients with multiple sclerosis,"Zhang, Y; Wang, X; Chen, H; Shi, Z; Wang, R; Du, Q; Kong, L; Zhang, N; Zhang, Y; Mou, Z; Zhou, H",Journal of Affective Disorders,2026,
Epstein-barr virus and multiple sclerosis: from pathogenesis and diagnosis to EBV-specific T cell therapy and gene-targeted therapeutics,"Pushkarna, M; Zwamel, A; Verma, S; Malathi, H; Mustafayeva, M; Kaur, H; Al-Nuaimi, AMA; Husseen, B; Dahghani, M",Journal of Applied Genetics,2026,
Epstein-Barr virus seropositivity in a cohort of Sri Lankan patients with early multiple sclerosis: Preliminary case control study from South Asia,"De Alwis, S; Muthugala, R; Senanayake, B",Multiple Sclerosis and Related Disorders,2026,41270350
